"","year","school","conference","division","Jersey","Player","Yr","Pos","GP","GS","BA","OBPct","SlgPct","R","AB","H","2B","3B","TB","HR","RBI","BB","HBP","SF","SH","K","DP","CS","Picked","SB","RBI2out","teamid","conference_id","player_id","player_url"
"1","2017","Cornell","Ivy League",1,"8","Padulo, Frankie","Sr","INF",38,38,0.293,0.397,0.431,24,116,34,6,2,50,2,21,19,3,3,1,19,4,2,NA,4,NA,167,865,"1546995","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1546995"
"2","2017","Cornell","Ivy League",1,"15","Wagner, Tommy","Sr","INF",38,38,0.296,0.343,0.355,23,152,45,2,2,54,1,22,9,4,4,NA,13,7,2,NA,1,NA,167,865,"1547005","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1547005"
"3","2017","Cornell","Ivy League",1,"12","Krainz, Ryan","Jr","INF",38,38,0.369,0.478,0.454,26,130,48,9,1,59,NA,10,28,1,2,1,16,4,5,NA,7,NA,167,865,"1884383","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884383"
"4","2017","Cornell","Ivy League",1,"35","Baur, Trey","Jr","INF",35,33,0.301,0.389,0.389,19,113,34,7,NA,44,1,18,14,3,1,NA,25,1,NA,NA,1,NA,167,865,"1652419","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1652419"
"5","2017","Cornell","Ivy League",1,"40","Le Dorze, Pierre","Jr","OF",32,28,0.324,0.4,0.52,22,102,33,10,2,53,2,16,8,5,NA,NA,25,3,2,NA,2,NA,167,865,"1652421","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1652421"
"6","2017","Cornell","Ivy League",1,"36","Rutherford, Cole","Sr","1B",31,30,0.31,0.367,0.56,24,116,36,6,1,65,7,33,10,1,1,NA,29,5,NA,NA,NA,NA,167,865,"1779086","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1779086"
"7","2017","Cornell","Ivy League",1,"2","Bitar, Ellis","Jr","C",29,28,0.284,0.398,0.441,15,102,29,4,3,45,2,18,12,8,1,NA,25,2,3,NA,3,NA,167,865,"1652397","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1652397"
"8","2017","Cornell","Ivy League",1,"6","Arndt, Josh","So","INF",28,18,0.187,0.256,0.28,5,75,14,7,NA,21,NA,3,7,NA,NA,1,20,1,NA,NA,NA,NA,167,865,"1779078","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1779078"
"9","2017","Cornell","Ivy League",1,"5","Wickham, Dale","Jr","OF",25,25,0.406,0.482,0.531,25,96,39,12,NA,51,NA,17,10,4,NA,NA,13,2,1,NA,4,NA,167,865,"1652396","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1652396"
"10","2017","Cornell","Ivy League",1,"33","Simoneit, Will","So","C",24,22,0.317,0.391,0.61,16,82,26,9,NA,50,5,28,7,3,NA,NA,14,3,NA,NA,1,NA,167,865,"1779085","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1779085"
"11","2017","Cornell","Ivy League",1,"27","Gallagher, Kyle","Jr","OF",20,18,0.243,0.264,0.314,6,70,17,5,NA,22,NA,6,2,NA,NA,NA,13,1,1,NA,1,NA,167,865,"1884386","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884386"
"12","2017","Cornell","Ivy League",1,"19","Lepper, Kaleb","Fr","OF",19,18,0.183,0.263,0.211,9,71,13,2,NA,15,NA,5,8,NA,1,NA,16,1,1,NA,3,NA,167,865,"1884384","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884384"
"13","2017","Cornell","Ivy League",1,"39","Lannoo, Peter","Sr","P",17,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1652420","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1652420"
"14","2017","Cornell","Ivy League",1,"23","Flynn, Jamie","Sr","P",13,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1779083","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1779083"
"15","2017","Cornell","Ivy League",1,"32","Bemiss, Jeb","Fr","P",13,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1884390","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884390"
"16","2017","Cornell","Ivy League",1,"37","Horton, Matt","Sr","P",13,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1884391","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884391"
"17","2017","Cornell","Ivy League",1,"4","Natoli, John","Fr","P",11,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1884378","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884378"
"18","2017","Cornell","Ivy League",1,"7","Soltis, Scott","Sr","P",10,4,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1546994","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1546994"
"19","2017","Cornell","Ivy League",1,"29","Willittes, Tim","Sr","P",10,9,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1547000","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1547000"
"20","2017","Cornell","Ivy League",1,"22","Balestrieri, Paul","Sr","P",9,9,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1546998","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1546998"
"21","2017","Cornell","Ivy League",1,"30","Collins, Matt","Fr","INF",9,3,0.083,0.214,0.333,3,12,1,NA,NA,4,1,2,2,NA,NA,NA,5,NA,1,NA,NA,NA,167,865,"1884388","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884388"
"22","2017","Cornell","Ivy League",1,"26","Lewis, Justin","Jr","P",9,8,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1652395","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1652395"
